Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1978","1978","kg/ha","14514.6","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1979","1979","kg/ha","19281.6","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1980","1980","kg/ha","16292.9","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1981","1981","kg/ha","16771.6","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1982","1982","kg/ha","16180","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1983","1983","kg/ha","16438.5","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1984","1984","kg/ha","14670.2","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1985","1985","kg/ha","19088.9","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1986","1986","kg/ha","15000","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1987","1987","kg/ha","17002.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1988","1988","kg/ha","15672.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1989","1989","kg/ha","16345.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1990","1990","kg/ha","15137.6","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1991","1991","kg/ha","14153.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1992","1992","kg/ha","16045.7","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1993","1993","kg/ha","16639.2","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1994","1994","kg/ha","15563.9","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1995","1995","kg/ha","16028.1","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1996","1996","kg/ha","14184.7","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1997","1997","kg/ha","17872.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1998","1998","kg/ha","15630.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","1999","1999","kg/ha","16920.7","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2000","2000","kg/ha","16226","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2001","2001","kg/ha","12106.7","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2002","2002","kg/ha","13193.8","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2003","2003","kg/ha","15527.2","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2004","2004","kg/ha","13916.2","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2005","2005","kg/ha","22080.5","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2006","2006","kg/ha","15062.5","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2007","2007","kg/ha","18899","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2008","2008","kg/ha","16147.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2009","2009","kg/ha","13415.2","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2010","2010","kg/ha","15745.7","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2011","2011","kg/ha","15954.5","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2012","2012","kg/ha","16009.1","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2013","2013","kg/ha","16035","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2014","2014","kg/ha","15970.7","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2015","2015","kg/ha","15949.9","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2016","2016","kg/ha","15961.7","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2017","2017","kg/ha","15968.6","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2018","2018","kg/ha","15945","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2019","2019","kg/ha","15938.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2020","2020","kg/ha","15943.5","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2021","2021","kg/ha","15916.2","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2022","2022","kg/ha","15877","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2023","2023","kg/ha","15872.7","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2024","2024","kg/ha","15868.5","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1961","1961","kg/ha","11964","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1962","1962","kg/ha","11964","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1963","1963","kg/ha","11188.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1964","1964","kg/ha","12469","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1965","1965","kg/ha","13043.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1966","1966","kg/ha","12670.4","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1967","1967","kg/ha","13634.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1968","1968","kg/ha","13971.3","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1969","1969","kg/ha","13268.6","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1970","1970","kg/ha","13913.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1971","1971","kg/ha","14091.3","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1972","1972","kg/ha","14161.3","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1973","1973","kg/ha","12172.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1974","1974","kg/ha","13101.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1975","1975","kg/ha","13720.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1976","1976","kg/ha","15015.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1977","1977","kg/ha","17227.4","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1978","1978","kg/ha","15908.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1979","1979","kg/ha","16448.4","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1980","1980","kg/ha","17600.6","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1981","1981","kg/ha","16354.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1982","1982","kg/ha","17115.6","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1983","1983","kg/ha","17909.4","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1984","1984","kg/ha","18012.4","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1985","1985","kg/ha","18484.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1986","1986","kg/ha","17332.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1987","1987","kg/ha","20301.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1988","1988","kg/ha","20095","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1989","1989","kg/ha","24652.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1990","1990","kg/ha","22752.4","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1991","1991","kg/ha","20730.6","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1992","1992","kg/ha","21682.3","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1993","1993","kg/ha","24712.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1994","1994","kg/ha","25036.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1995","1995","kg/ha","25130.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1996","1996","kg/ha","24743.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1997","1997","kg/ha","20813.5","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1998","1998","kg/ha","21278.6","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","1999","1999","kg/ha","19742.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2000","2000","kg/ha","19117.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2001","2001","kg/ha","30534.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2002","2002","kg/ha","24899.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2003","2003","kg/ha","24840.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2004","2004","kg/ha","23684.5","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2005","2005","kg/ha","25631.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2006","2006","kg/ha","16778.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2007","2007","kg/ha","18281","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2008","2008","kg/ha","21015","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2009","2009","kg/ha","22547.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2010","2010","kg/ha","26178","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2011","2011","kg/ha","18109.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2012","2012","kg/ha","21157","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2013","2013","kg/ha","23233.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2014","2014","kg/ha","21057","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2015","2015","kg/ha","21379.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2016","2016","kg/ha","21324.4","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2017","2017","kg/ha","29454","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2018","2018","kg/ha","29969.6","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2019","2019","kg/ha","28293.6","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2020","2020","kg/ha","30393.3","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2021","2021","kg/ha","28378.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2022","2022","kg/ha","27804.8","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2023","2023","kg/ha","28740.9","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2024","2024","kg/ha","29188.6","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1961","1961","kg/ha","5917.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1962","1962","kg/ha","5917.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1963","1963","kg/ha","4756.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1964","1964","kg/ha","5620.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1965","1965","kg/ha","5591.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1966","1966","kg/ha","5836.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1967","1967","kg/ha","4149.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1968","1968","kg/ha","5260.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1969","1969","kg/ha","4772.5","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1970","1970","kg/ha","4890.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1971","1971","kg/ha","5680.3","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1972","1972","kg/ha","6476.9","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1973","1973","kg/ha","6424.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1974","1974","kg/ha","5901.9","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1975","1975","kg/ha","7388.7","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1976","1976","kg/ha","7139","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1977","1977","kg/ha","5184.5","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1978","1978","kg/ha","5810.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1979","1979","kg/ha","5534.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1980","1980","kg/ha","4148.9","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1981","1981","kg/ha","5484","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1982","1982","kg/ha","4616.1","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1983","1983","kg/ha","3671.1","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1984","1984","kg/ha","2988.8","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1985","1985","kg/ha","3216.8","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1986","1986","kg/ha","3209.8","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1987","1987","kg/ha","3063.6","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1988","1988","kg/ha","2985","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1989","1989","kg/ha","2520.1","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1990","1990","kg/ha","2737.2","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1991","1991","kg/ha","3641.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1992","1992","kg/ha","3174","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1993","1993","kg/ha","3317.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1994","1994","kg/ha","4169.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1995","1995","kg/ha","3732","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1996","1996","kg/ha","3075.9","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1997","1997","kg/ha","4229.7","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1998","1998","kg/ha","4233.3","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","1999","1999","kg/ha","4239.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2000","2000","kg/ha","4228.3","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2001","2001","kg/ha","6379.7","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2002","2002","kg/ha","5077.3","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2003","2003","kg/ha","5733.3","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2004","2004","kg/ha","4969","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2005","2005","kg/ha","5059.9","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2006","2006","kg/ha","6114.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2007","2007","kg/ha","5405.6","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2008","2008","kg/ha","5657.8","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2009","2009","kg/ha","5719.6","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2010","2010","kg/ha","5905.2","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2011","2011","kg/ha","6104.3","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2012","2012","kg/ha","5974.3","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2013","2013","kg/ha","6061.3","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2014","2014","kg/ha","6260.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2015","2015","kg/ha","6469","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2016","2016","kg/ha","6521.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2017","2017","kg/ha","6630.2","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2018","2018","kg/ha","6736.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2019","2019","kg/ha","6853","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2020","2020","kg/ha","6973.9","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2021","2021","kg/ha","7134.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2022","2022","kg/ha","7128.8","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2023","2023","kg/ha","7223.1","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2024","2024","kg/ha","7314","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1961","1961","kg/ha","10854.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1962","1962","kg/ha","12910.4","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1963","1963","kg/ha","9703.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1964","1964","kg/ha","13267.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1965","1965","kg/ha","13619.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1966","1966","kg/ha","11488.4","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1967","1967","kg/ha","13493.4","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1968","1968","kg/ha","12343.6","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1969","1969","kg/ha","10734.4","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1970","1970","kg/ha","14558.5","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1971","1971","kg/ha","10258.5","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1972","1972","kg/ha","14559.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1973","1973","kg/ha","10103.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1974","1974","kg/ha","8835.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1975","1975","kg/ha","11363.5","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1976","1976","kg/ha","11228.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1977","1977","kg/ha","11304.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1978","1978","kg/ha","10686.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1979","1979","kg/ha","10887.5","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1980","1980","kg/ha","13271.5","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1981","1981","kg/ha","11490","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1982","1982","kg/ha","13892","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1983","1983","kg/ha","12408.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1984","1984","kg/ha","13967.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1985","1985","kg/ha","14830.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1986","1986","kg/ha","15139.6","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1987","1987","kg/ha","14526.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1988","1988","kg/ha","14886","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1989","1989","kg/ha","15978.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1990","1990","kg/ha","15288.4","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1991","1991","kg/ha","15628.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1992","1992","kg/ha","17511.5","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","1993","1993","kg/ha","13555.4","A","Official figure",""
